created_at,source,polarity,subjectivity,original_text,lang,favorite_count,retweet_count,original_author,followers_count,friends_count,possibly_sensitive,hashtags,user_mentions,location
Fri Jun 18 17:56:52 +0000 2021,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0.5083333333333333,0.7833333333333333,"I’m pleased to welcome the #WeCanDoThis bus to Atlanta today! Remember, there are 3 easy ways to find a #COVID19 vaccine near you:  
🔍 Search https://t.co/d2PDWIps8o  
📱Text your ZIP code to 438829  
📞 Call 1-800-232-0233 https://t.co/AMmcMmCtiP",en,685,221,Jmilio54,15,43,,"[{'text': 'WeCanDoThis', 'indices': [27, 39]}, {'text': 'COVID19', 'indices': [104, 112]}]",[],
Fri Jun 18 17:56:54 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",-0.1625,0.2375,BioCubaFarma says phase 3 clinical trial results for #Cuban #COVID19 #vaccines are due out in a few days. Soberana02 (with and without booster) and Abdala were tested in 85K+ volunteers in Havana and eastern Cuba. @BioCubaFarma @FinlayInstituto @cda_dc @WOLA_org @aperezriverol https://t.co/GkrwLdJX1M,en,52,28,LilyWad75051099,474,361,,"[{'text': 'Cuban', 'indices': [53, 59]}, {'text': 'COVID19', 'indices': [60, 68]}, {'text': 'vaccines', 'indices': [69, 78]}]","[{'screen_name': 'BioCubaFarma', 'name': 'BioCubaFarma', 'id': 983814956058578945, 'id_str': '983814956058578945', 'indices': [214, 227]}, {'screen_name': 'FinlayInstituto', 'name': 'Instituto Finlay de Vacunas', 'id': 867464592846442496, 'id_str': '867464592846442496', 'indices': [228, 244]}, {'screen_name': 'cda_dc', 'name': 'CDA', 'id': 61804141, 'id_str': '61804141', 'indices': [245, 252]}, {'screen_name': 'WOLA_org', 'name': 'WOLA', 'id': 133048642, 'id_str': '133048642', 'indices': [253, 262]}, {'screen_name': 'aperezriverol', 'name': 'A. Perez-Riverol', 'id': 802608255373639680, 'id_str': '802608255373639680', 'indices': [263, 277]}]",
Fri Jun 18 17:56:58 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0.37272727272727274,0.46742424242424246,,en,,,SammyEyong,14,80,,,,
Fri Jun 18 17:57:06 +0000 2021,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",0.37272727272727274,0.46742424242424246,"It is really something to see new research coming out about damage to the brain, heart, and more from #Covid19. And then watch our government reopen everything and just let Covid and #DeltaVariant spread wildly throughout our country.

Vaccines are great but we need to do more https://t.co/o8vX9TkY0Q",en,4,2,trekkerteach12,7778,5990,,"[{'text': 'Covid19', 'indices': [102, 110]}, {'text': 'DeltaVariant', 'indices': [183, 196]}]",[],
Fri Jun 18 17:57:12 +0000 2021,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",0.1958333333333333,0.2875,,en,22,6,emet_news_press,9765,7035,,,,Global
Fri Jun 18 17:57:16 +0000 2021,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",-0.09166666666666666,0.41666666666666663,,en,,,edjimimi,371,605,,,,"Austin, TX"
Fri Jun 18 17:57:18 +0000 2021,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",0.625,1.0,"It is really something to see new research coming out about damage to the brain, heart, and more from #Covid19. And then watch our government reopen everything and just let Covid and #DeltaVariant spread wildly throughout our country.

Vaccines are great but we need to do more https://t.co/o8vX9TkY0Q",en,5,3,SheriD17536431,470,1240,,"[{'text': 'Covid19', 'indices': [102, 110]}, {'text': 'DeltaVariant', 'indices': [183, 196]}]",[],Nashville
Fri Jun 18 17:57:19 +0000 2021,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0.13333333333333333,0.45555555555555555,"Africa is in the midst of a full blown third wave. The sobering trajectory of surging cases should rouse everyone into urgent action. 

We’ve seen in India and elsewhere just how quickly #COVID19 can rebound and overwhelm health systems.",en,67,77,DuncanSteele8,48,74,,"[{'text': 'COVID19', 'indices': [187, 195]}]",[],
Fri Jun 18 17:57:20 +0000 2021,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",0.625,0.4,"@DrTedros ""Less than 2% of Africa’s population has been vaccinated.

Vaccines donated next year will be far too late for those who are dying today, or being infected today, or at risk today""-@DrTedros #COVID19 #VaccinEquity",en,55,32,ChrisRamsden4,678,570,,"[{'text': 'COVID19', 'indices': [201, 209]}, {'text': 'VaccinEquity', 'indices': [210, 223]}]","[{'screen_name': 'DrTedros', 'name': 'Tedros Adhanom Ghebreyesus', 'id': 189868631, 'id_str': '189868631', 'indices': [0, 9]}, {'screen_name': 'DrTedros', 'name': 'Tedros Adhanom Ghebreyesus', 'id': 189868631, 'id_str': '189868631', 'indices': [191, 200]}]",Kent
Fri Jun 18 17:57:22 +0000 2021,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0.2333333333333333,0.5533333333333333,"So glad to join training day for the DC #COVID19 Community Corps

They will be going door to door and attending events to encourage residents to #TakeTheShotDC 

Together, we’ll crush the virus! https://t.co/Q3MPcnZFJL https://t.co/NibVFurhtd",en,6,3,stevenlwalker,5769,1848,,"[{'text': 'COVID19', 'indices': [40, 48]}, {'text': 'TakeTheShotDC', 'indices': [145, 159]}]",[],Bending stuff towards justice
Fri Jun 18 17:57:24 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0.13333333333333333,0.45555555555555555,"Dr Moeti is head of WHO in Africa, and one of the best public health experts and leaders I know. Hers is a desperate request for vaccines to Africa. We plead with Germany and the UK to lift patent restrictions and urgently transfer technology to enable production in Africa.",en,203,95,yuccaldo,1309,2618,,[],[],"#mRNA/@pfizer 1.shot, 23.04"
Fri Jun 18 17:57:30 +0000 2021,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0.4000000000000001,0.7166666666666667,"[MB] ☀️ WINNIPEG ☀️ 
Available mRNA vaccines!
📍 Scurfield Pharmacy (100 201 Scurfield Blvd)
📞 204-306-4459
💻 https://t.co/cDMOKVMUTW
Call to confirm availability/book appointment! 
#protectmb
https://t.co/7OYAVc9tK1 #VHCDose2 #COVID19MB #vhcMB",en,5,2,LeahMochula,84,592,,"[{'text': 'protectmb', 'indices': [181, 191]}, {'text': 'VHCDose2', 'indices': [216, 225]}, {'text': 'COVID19MB', 'indices': [226, 236]}, {'text': 'vhcMB', 'indices': [237, 243]}]",[],
Fri Jun 18 17:57:31 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",-0.1625,0.2375,@robinmonotti2 @RiseOfTheProles BTW🤔🤔Covid19 deaths are super inflated by a rigged PCR test! Using a survival rate of the Covid19 virus of 99.97% the death by vaccines comparison is infinitely higher -try ~1 million times more likely to die by the Covid19 shot than the “actual” virus!! 😳😳😳😳😳😳😳😳😳😳😳 https://t.co/oocr6CtzQZ,en,3,3,siborg76,558,1684,,[],"[{'screen_name': 'robinmonotti2', 'name': 'Robin Monotti 🌸', 'id': 20106357, 'id_str': '20106357', 'indices': [0, 14]}, {'screen_name': 'RiseOfTheProles', 'name': 'Rise up Canadians!', 'id': 809764232111783936, 'id_str': '809764232111783936', 'indices': [15, 31]}]","England, United Kingdom"
Fri Jun 18 17:57:31 +0000 2021,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",0.1958333333333333,0.2875,"Dr Moeti is head of WHO in Africa, and one of the best public health experts and leaders I know. Hers is a desperate request for vaccines to Africa. We plead with Germany and the UK to lift patent restrictions and urgently transfer technology to enable production in Africa. https://t.co/sOgIroihOc",en,203,96,DrRobinFawcett,85,110,,[],[],London
Fri Jun 18 17:57:40 +0000 2021,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0.16666666666666666,0.18888888888888888,"That's great. But there are now *zero* appointments available within a 6 hour driving radius of Winnipeg for anyone who can only get Pfizer for shot 2. 

Save Pfizer for our kids. They don't have a choice between vaccines.

@KindrachukJason @SouradetS #mbpoli",en,29,5,signpostpoetry,850,1827,,"[{'text': 'mbpoli', 'indices': [252, 259]}]","[{'screen_name': 'KindrachukJason', 'name': 'Jason Kindrachuk, PhD', 'id': 1071978579934765061, 'id_str': '1071978579934765061', 'indices': [224, 240]}, {'screen_name': 'SouradetS', 'name': 'Souradet Shaw', 'id': 1143960970672390146, 'id_str': '1143960970672390146', 'indices': [241, 251]}]",Treaty One
Fri Jun 18 17:57:40 +0000 2021,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",0.37272727272727274,0.46742424242424246,,en,,,sharon_inouye,6100,1556,,,,United States
Fri Jun 18 17:57:42 +0000 2021,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",-0.23645833333333335,0.3375,BioCubaFarma says phase 3 clinical trial results for #Cuban #COVID19 #vaccines are due out in a few days. Soberana02 (with and without booster) and Abdala were tested in 85K+ volunteers in Havana and eastern Cuba. @BioCubaFarma @FinlayInstituto @cda_dc @WOLA_org @aperezriverol https://t.co/GkrwLdJX1M,en,54,29,laureiropedro1,45,258,,"[{'text': 'Cuban', 'indices': [53, 59]}, {'text': 'COVID19', 'indices': [60, 68]}, {'text': 'vaccines', 'indices': [69, 78]}]","[{'screen_name': 'BioCubaFarma', 'name': 'BioCubaFarma', 'id': 983814956058578945, 'id_str': '983814956058578945', 'indices': [214, 227]}, {'screen_name': 'FinlayInstituto', 'name': 'Instituto Finlay de Vacunas', 'id': 867464592846442496, 'id_str': '867464592846442496', 'indices': [228, 244]}, {'screen_name': 'cda_dc', 'name': 'CDA', 'id': 61804141, 'id_str': '61804141', 'indices': [245, 252]}, {'screen_name': 'WOLA_org', 'name': 'WOLA', 'id': 133048642, 'id_str': '133048642', 'indices': [253, 262]}, {'screen_name': 'aperezriverol', 'name': 'A. Perez-Riverol', 'id': 802608255373639680, 'id_str': '802608255373639680', 'indices': [263, 277]}]",
Fri Jun 18 17:57:43 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0.1,0.3,"Africa is in the midst of a full blown third wave. The sobering trajectory of surging cases should rouse everyone into urgent action. 

We’ve seen in India and elsewhere just how quickly #COVID19 can rebound and overwhelm health systems.",en,68,78,yuccaldo,1309,2618,,"[{'text': 'COVID19', 'indices': [187, 195]}]",[],"#mRNA/@pfizer 1.shot, 23.04"
Fri Jun 18 17:57:48 +0000 2021,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0.125,0.325,"🚨Africa is ""in the midst of a full-blown third wave"" of coronavirus, the head of @WHOAFRO has warned

Cases have risen across the continent by more than 20% and deaths have also risen by 15% in the last week

@jriggers reports ~ 🧵
https://t.co/CRDhqPHFWM",en,548,614,Sportsmk,755,646,,[],"[{'screen_name': 'WHOAFRO', 'name': 'WHO African Region', 'id': 544389588, 'id_str': '544389588', 'indices': [81, 89]}, {'screen_name': 'jriggers', 'name': 'Jennifer Rigby', 'id': 174663886, 'id_str': '174663886', 'indices': [209, 218]}]",texas
Fri Jun 18 17:57:48 +0000 2021,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",0.20727272727272728,0.5709090909090909,"It is really something to see new research coming out about damage to the brain, heart, and more from #Covid19. And then watch our government reopen everything and just let Covid and #DeltaVariant spread wildly throughout our country.

Vaccines are great but we need to do more https://t.co/o8vX9TkY0Q",en,6,4,RGC_BPPA,2689,5003,,"[{'text': 'Covid19', 'indices': [102, 110]}, {'text': 'DeltaVariant', 'indices': [183, 196]}]",[],"Lafayette, Louisiana"
Fri Jun 18 17:57:55 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",-0.23645833333333335,0.3375,"We are dying! Ugandans need the world to stand with them. We need oxygen, PPEs, #COVID19 vaccines and money to pay our over-stretched health workers.
World, we need each other! 

Oxygen failure kills 30 Covid patients at Mulago  https://t.co/o1K0IUGf6Z via @DailyMonitor",en,855,485,saanchi_saxena,153,350,,"[{'text': 'COVID19', 'indices': [80, 88]}]","[{'screen_name': 'DailyMonitor', 'name': 'Daily Monitor', 'id': 35697740, 'id_str': '35697740', 'indices': [257, 270]}]",
Fri Jun 18 17:57:59 +0000 2021,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0.5083333333333333,0.7833333333333333,"#ERNReCONNET meeting: #SLE and #COVID19 #vaccines 

""That's the reason why ERNs were developed...""

#patientsinvolvement #bestpractices for people living with #SystemicLupusErythematosus https://t.co/IJluIIioyn",en,6,4,NatxRP,70,305,,"[{'text': 'ERNReCONNET', 'indices': [0, 12]}, {'text': 'SLE', 'indices': [22, 26]}, {'text': 'COVID19', 'indices': [31, 39]}, {'text': 'vaccines', 'indices': [40, 49]}, {'text': 'patientsinvolvement', 'indices': [100, 120]}, {'text': 'bestpractices', 'indices': [121, 135]}, {'text': 'SystemicLupusErythematosus', 'indices': [159, 186]}]",[],"Barcelona, Espanya"
Fri Jun 18 17:57:59 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0.13333333333333333,0.6333333333333333,"""Africa needs millions more doses here &amp; now to curb the third wave.""

In the midst of a third wave of #COVID19 cases in #Africa, Dr @MoetiTshidi calls out for much-needed COVID-19 vaccine doses during this critical time. https://t.co/KUDPXpqq22",en,62,48,yuccaldo,1309,2619,,"[{'text': 'COVID19', 'indices': [107, 115]}, {'text': 'Africa', 'indices': [125, 132]}]","[{'screen_name': 'MoetiTshidi', 'name': 'Dr Matshidiso Moeti', 'id': 2412739760, 'id_str': '2412739760', 'indices': [137, 149]}]","#mRNA/@pfizer 1.shot, 23.04"
Fri Jun 18 17:58:01 +0000 2021,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",0.0,0.06388888888888888,"A new @EurobarometerEU survey shows 79% of Europeans intend to get vaccinated against #COVID19 this year. But people aged under 45 are more hesitant.

70% also believe the EU plays a key role in ensuring access to vaccines in their country. 🇪🇺

More info 👇 #StrongerTogether",en,102,50,CaleEuropaEdic,2228,2720,,"[{'text': 'COVID19', 'indices': [86, 94]}, {'text': 'StrongerTogether', 'indices': [257, 274]}]","[{'screen_name': 'EurobarometerEU', 'name': 'Eurobarometer', 'id': 304876789, 'id_str': '304876789', 'indices': [6, 22]}]",
Fri Jun 18 17:58:02 +0000 2021,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0.25,0.2,"We are dying! Ugandans need the world to stand with them. We need oxygen, PPEs, #COVID19 vaccines and money to pay our over-stretched health workers.
World, we need each other! 

Oxygen failure kills 30 Covid patients at Mulago  https://t.co/o1K0IUGf6Z via @DailyMonitor",en,855,486,chloekam09,478,441,,"[{'text': 'COVID19', 'indices': [80, 88]}]","[{'screen_name': 'DailyMonitor', 'name': 'Daily Monitor', 'id': 35697740, 'id_str': '35697740', 'indices': [257, 270]}]",
Fri Jun 18 17:58:08 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0.21212121212121207,0.40151515151515155,,en,,,runciecwc,6467,2529,,,,Nigeria
Fri Jun 18 17:58:09 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",-0.3,0.4,"I’m pleased to welcome the #WeCanDoThis bus to Atlanta today! Remember, there are 3 easy ways to find a #COVID19 vaccine near you:  
🔍 Search https://t.co/d2PDWIps8o  
📱Text your ZIP code to 438829  
📞 Call 1-800-232-0233 https://t.co/AMmcMmCtiP",en,687,222,Renee98929893,12,152,,"[{'text': 'WeCanDoThis', 'indices': [27, 39]}, {'text': 'COVID19', 'indices': [104, 112]}]",[],
Fri Jun 18 17:58:15 +0000 2021,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",0.09375,0.28125,"The US government is lying to us by pretending #Covid19 is over. It is not over. People are still dying daily. Vaccines are fantastic but they are not the only thing we need to do to save lives.

Call your elected officials! https://t.co/muzgCGzd2B",en,0,1,corrigan_david,2898,5001,,"[{'text': 'Covid19', 'indices': [47, 55]}]",[],"Los Angeles, CA"
Fri Jun 18 17:58:28 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",3.700743415417188e-17,0.6333333333333334,IBP South Africa and partners wrote to the Gauteng government in October last year highlighting that residents in Emfuleni Informal settlement do not have basic services to combat COVID - 8 months later the problem continues! #COVID Inequality ~ share the story!,en,3,5,guyinthecorner1,249,375,,"[{'text': 'COVID', 'indices': [226, 232]}]",[],South Africa
Fri Jun 18 17:58:40 +0000 2021,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",-0.125,0.725,"[MB] 🌸 WINNIPEG 🌸 
Available mRNA vaccines!
📍 Atlantic Medical Centre (1054 McPhillips Street)
📞: 204-505-1580
Call to confirm availability/book an appointment!

https://t.co/7OYAVc9tK1

#protectmb #VHCDose2 #COVID19MB #vhcMB",en,3,5,SandyBiback,910,575,,"[{'text': 'protectmb', 'indices': [187, 197]}, {'text': 'VHCDose2', 'indices': [198, 207]}, {'text': 'COVID19MB', 'indices': [208, 218]}, {'text': 'vhcMB', 'indices': [219, 225]}]",[],Canada
Fri Jun 18 17:58:43 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0.025757575757575757,0.3151515151515151,"More than 10,000 new cases in South Africa's latest report. Positivity rate above 20%. The third wave continues.
 (And two-thirds of new cases are in Gauteng province.)",en,7,6,FortuneThembo,214,855,,[],[],"Johannesburg, South Africa"
Fri Jun 18 17:58:53 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0.625,0.4,At least one take away seems to me to be that universities may still find themselves facing litigation even if they don't mandate #covid19 #vaccines.,en,10,2,JonathanKuo11,19,103,,"[{'text': 'covid19', 'indices': [130, 138]}, {'text': 'vaccines', 'indices': [139, 148]}]",[],
Fri Jun 18 17:59:01 +0000 2021,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>",0.0,0.0,,en,,,TamesideCouncil,29688,1104,,,,"Ashton-under-Lyne, England"
Fri Jun 18 17:59:10 +0000 2021,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",0.0,0.5,,en,,,realjacobsumner,974,1329,,,,"Glendale, AZ"
Fri Jun 18 17:59:13 +0000 2021,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",-0.041666666666666664,0.08333333333333333,"You can get a #COVID19 vaccine and other vaccines, including flu and shingles, at the same visit. You no longer need to wait 14 days between vaccines. Side effects are the same if vaccines are given alone or together. 
 
More about vaccine timing: https://t.co/BV3mN5XdLe. https://t.co/RWrRzhKdEg",en,107,63,HIPhealthy,9396,7492,,"[{'text': 'COVID19', 'indices': [14, 22]}]",[],"Miami, Florida"
Fri Jun 18 17:59:14 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0.5,0.5,,en,64,27,Morteza22047559,784,601,,,,Canada
Fri Jun 18 17:59:22 +0000 2021,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",0.13333333333333333,0.45555555555555555,"Yet another amazingly qualified and courageous doctor, Roger Hodkinson, speaks out against the crazy government policy responses to COVID.  I have condensed his 45 minutes on The Hirewire to 6 Twitter size edits, starting with an overview of interventions and vaccines. https://t.co/WcVq32s9WD",en,536,349,williapa81,295,1450,,[],[],
Fri Jun 18 17:59:24 +0000 2021,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",0.4000000000000001,0.7166666666666667,"@AIPAC Will aipac tell the world that Israel has SOLD EXPIRED vaccines to Palestinians, which could have been disastrous to Palestinians, making the covid19 crisis far worse, leading to more Palestinian deaths? #ThisisIsrael. https://t.co/WTPn9XMSvs",en,8,10,LallaMina13,142,367,,"[{'text': 'ThisisIsrael', 'indices': [211, 224]}]","[{'screen_name': 'AIPAC', 'name': 'AIPAC', 'id': 15987296, 'id_str': '15987296', 'indices': [0, 6]}]","Earth, Milky way"
Fri Jun 18 17:59:36 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0.09375,0.28125,"17 June 2021: #COVID19 in South Africa 🇿🇦

Daily test positivity rate at 22.6% today, that's a positive test for every 4-5 tests processed 🚩

The increase in test positivity rate, 7-day average at 18.7%, confirming the rapid rise in infections 📈

#Rid1TweetsOnCovid #coronavirus https://t.co/LKarZlmwgg",en,160,63,marissalangeni,1070,666,,"[{'text': 'COVID19', 'indices': [14, 22]}, {'text': 'Rid1TweetsOnCovid', 'indices': [247, 265]}, {'text': 'coronavirus', 'indices': [266, 278]}]",[],JHB
Fri Jun 18 17:59:39 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0.0,0.5,,en,31,16,nitin_na3,57,759,,,,"Maharashtra, India"
Fri Jun 18 17:59:42 +0000 2021,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",0.4000000000000001,0.7166666666666667,"[MB] ☀️ WINNIPEG ☀️ 
Available mRNA vaccines!
📍 Scurfield Pharmacy (100 201 Scurfield Blvd)
📞 204-306-4459
💻 https://t.co/cDMOKVMUTW
Call to confirm availability/book appointment! 
#protectmb
https://t.co/7OYAVc9tK1 #VHCDose2 #COVID19MB #vhcMB",en,6,3,knitntherapist,984,1382,,"[{'text': 'protectmb', 'indices': [181, 191]}, {'text': 'VHCDose2', 'indices': [216, 225]}, {'text': 'COVID19MB', 'indices': [226, 236]}, {'text': 'vhcMB', 'indices': [237, 243]}]",[],PrinceDuckie by @vanillacherie
Fri Jun 18 18:00:00 +0000 2021,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",0.31666666666666665,0.611111111111111,,en,,,vubblePOP,3165,2112,,,,Everywhere
